Rk,Player,WS,MP,ORtg,DRtg,BPM,PER,VORP,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
85,Onyeka Okongwu,0.3,21.6,126,111,-1.5,12.7,0.0,0.3,2021-22,21,ATL,5,1,21.6,1.8,3.2,1.8,3.2,0.0,0.0,1.6,2.0,2.2,3.2,5.4,0.4,0.8,0.8,0.8,3.8,5.2,.563,.563,,.800,.637,.563,F,okongon01
86,Nikola Vučević,0.3,36.2,103,108,4.0,17.6,0.3,0.3,2021-22,31,CHI,5,5,36.2,8.0,18.2,5.4,9.8,2.6,8.4,0.8,1.0,2.8,9.6,12.4,3.2,0.4,1.2,1.6,2.8,19.4,.440,.551,.310,.800,.520,.511,C,vucevni01
87,Jarred Vanderbilt,0.3,21.5,110,107,-0.5,12.0,0.0,0.3,2021-22,22,MIN,6,6,21.5,2.2,4.5,2.2,4.5,0.0,0.0,1.2,1.7,2.0,5.2,7.2,0.7,1.2,0.3,0.8,2.7,5.5,.481,.481,,.700,.525,.481,F,vandeja01
88,Donovan Mitchell,0.3,38.2,106,117,2.8,19.0,0.3,0.3,2021-22,25,UTA,6,6,38.2,8.8,22.2,7.2,14.2,1.7,8.0,6.2,7.0,1.0,3.3,4.3,5.7,0.7,0.5,2.7,2.3,25.5,.398,.506,.208,.881,.505,.436,G,mitchdo01
89,DeMarcus Cousins,0.3,11.4,125,116,11.8,32.9,0.2,0.3,2021-22,31,DEN,5,0,11.4,3.8,5.8,3.0,4.6,0.8,1.2,2.2,3.0,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6,.655,.652,.667,.733,.744,.724,C-F,couside01
90,Bojan Bogdanović,0.3,35.7,110,118,-0.5,13.1,0.1,0.3,2021-22,32,UTA,6,6,35.7,6.5,13.5,4.7,8.0,1.8,5.5,3.2,4.0,0.5,3.7,4.2,1.7,0.3,0.0,2.0,4.0,18.0,.481,.583,.333,.792,.590,.549,G-F,bogdabo02
91,Tyler Herro,0.2,25.4,97,108,-1.0,12.6,0.1,0.2,2021-22,22,MIA,15,0,25.4,4.9,12.1,3.9,7.4,1.1,4.7,1.7,1.8,0.5,3.4,3.9,2.8,0.6,0.4,1.8,1.4,12.6,.409,.523,.229,.926,.490,.453,G,herroty01
92,Jae Crowder,0.2,29.5,103,116,-0.9,9.8,0.1,0.2,2021-22,31,PHO,13,13,29.5,3.2,8.1,1.8,3.2,1.5,4.8,1.5,2.0,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4,.400,.548,.302,.731,.524,.490,F,crowdja01
93,OG Anunoby,0.2,36.2,114,123,0.8,15.2,0.1,0.2,2021-22,24,TOR,6,6,36.2,6.5,13.7,4.2,6.8,2.3,6.8,2.0,2.7,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3,.476,.610,.341,.750,.584,.561,F,anunoog01
94,CJ McCollum,0.2,39.0,108,120,0.6,15.5,0.2,0.2,2021-22,30,NOP,6,6,39.0,8.2,20.8,5.3,12.3,2.8,8.5,3.0,4.3,1.8,4.8,6.7,4.8,0.7,0.8,2.5,2.5,22.2,.392,.432,.333,.692,.487,.460,G,mccolcj01
95,Scottie Barnes,0.2,33.3,115,118,1.7,16.8,0.1,0.2,2021-22,20,TOR,4,3,33.3,4.5,10.5,4.0,7.5,0.5,3.0,3.3,4.0,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8,.429,.533,.167,.813,.520,.452,G-F,barnesc01
96,Bruce Brown,0.2,34.8,121,122,2.4,15.4,0.2,0.2,2021-22,25,BRK,4,4,34.8,5.3,9.3,3.8,5.8,1.5,3.5,2.0,2.5,1.5,3.3,4.8,2.8,1.3,0.8,2.3,4.0,14.0,.568,.652,.429,.800,.676,.649,G,brownbr01
97,Trey Murphy III,0.2,20.0,142,120,0.5,10.2,0.1,0.2,2021-22,21,NOP,6,0,20.0,1.5,3.7,0.0,0.5,1.5,3.2,0.7,0.8,0.5,2.0,2.5,0.5,0.5,0.2,0.2,1.5,5.2,.409,.000,.474,.800,.640,.614,F,murphtr02
98,Jose Alvarado,0.2,19.5,119,117,-0.1,13.3,0.1,0.2,2021-22,23,NOP,6,0,19.5,2.7,5.5,1.7,2.8,1.0,2.7,1.7,2.2,0.3,1.0,1.3,1.5,1.2,0.2,1.2,3.0,8.0,.485,.588,.375,.769,.620,.576,G,alvarjo01
99,Georges Niang,0.2,16.5,111,116,-2.2,7.1,0.0,0.2,2021-22,28,PHI,12,0,16.5,1.7,4.0,0.3,0.4,1.3,3.6,0.2,0.2,0.3,1.2,1.5,0.9,0.3,0.0,0.6,2.5,4.8,.417,.800,.372,1.000,.593,.583,F,niangge01
100,Aaron Gordon,0.2,32.0,115,122,-1.3,15.7,0.0,0.2,2021-22,26,DEN,5,5,32.0,4.6,10.8,4.0,7.8,0.6,3.0,4.0,5.6,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,.426,.513,.200,.714,.520,.454,F,gordoaa01
101,Bogdan Bogdanović,0.2,26.8,113,116,1.1,15.6,0.1,0.2,2021-22,29,ATL,4,0,26.8,5.0,12.3,2.8,5.8,2.3,6.5,2.0,2.5,1.0,3.8,4.8,3.0,0.3,0.3,1.0,3.0,14.3,.408,.478,.346,.800,.534,.500,G,bogdabo01
102,Matisse Thybulle,0.2,15.2,107,110,1.6,8.9,0.1,0.2,2021-22,24,PHI,9,0,15.2,1.2,2.7,0.8,1.1,0.4,1.6,0.1,0.3,0.2,0.8,1.0,0.4,0.8,0.8,0.2,1.7,3.0,.458,.700,.286,.333,.533,.542,G,thybuma01
103,Royce O'Neale,0.2,31.3,112,116,0.1,8.0,0.1,0.2,2021-22,28,UTA,6,6,31.3,2.3,5.8,1.2,1.7,1.2,4.2,0.3,0.3,1.0,4.7,5.7,1.5,0.5,0.2,0.5,2.7,6.2,.400,.700,.280,1.000,.516,.500,F,onealro01
104,Patrick Williams,0.2,30.6,102,109,-1.6,11.3,0.0,0.2,2021-22,20,CHI,5,5,30.6,4.4,9.4,3.0,5.2,1.4,4.2,1.6,2.2,1.2,4.2,5.4,0.8,1.0,0.6,1.4,3.0,11.8,.468,.577,.333,.727,.569,.543,F,willipa01
105,Hassan Whiteside,0.2,10.8,110,100,2.2,16.7,0.1,0.2,2021-22,32,UTA,6,0,10.8,0.8,2.0,0.8,2.0,0.0,0.0,0.2,0.7,1.3,3.8,5.2,0.0,0.3,1.3,0.0,1.5,1.8,.417,.417,,.250,.400,.417,C,whiteha01
106,Fred VanVleet,0.2,35.0,111,118,3.5,15.7,0.2,0.2,2021-22,27,TOR,4,4,35.0,4.8,13.5,1.8,4.5,3.0,9.0,1.3,1.5,0.5,2.5,3.0,6.3,1.8,1.0,1.0,3.0,13.8,.352,.389,.333,.833,.486,.463,G,vanvlfr01
107,Goran Dragić,0.2,19.8,120,121,1.1,19.3,0.1,0.2,2021-22,35,BRK,4,0,19.8,4.5,8.0,3.5,5.0,1.0,3.0,0.5,0.5,1.5,3.0,4.5,1.5,0.8,0.0,1.3,2.8,10.5,.563,.700,.333,1.000,.639,.625,G,dragigo01
108,Zach LaVine,0.1,38.3,102,112,1.8,13.8,0.1,0.1,2021-22,26,CHI,4,4,38.3,6.8,15.8,4.5,9.8,2.3,6.0,3.5,3.8,0.0,5.3,5.3,6.0,0.8,0.3,3.0,2.3,19.3,.429,.462,.375,.933,.553,.500,G-F,lavinza01
109,Thaddeus Young,0.1,14.5,115,117,1.7,14.3,0.1,0.1,2021-22,33,TOR,6,0,14.5,1.5,3.0,1.3,1.8,0.2,1.2,0.2,0.7,1.2,1.8,3.0,1.7,0.8,0.2,0.5,1.3,3.3,.500,.727,.143,.250,.506,.528,F,youngth01
110,Kyle Lowry,0.1,29.5,91,106,-2.7,7.8,0.0,0.1,2021-22,35,MIA,10,10,29.5,2.5,8.6,1.2,3.2,1.3,5.4,1.5,1.9,0.3,3.3,3.6,4.7,1.2,0.7,1.9,2.9,7.8,.291,.375,.241,.789,.413,.366,G,lowryky01
111,Bones Hyland,0.1,17.4,115,125,-1.1,13.6,0.0,0.1,2021-22,21,DEN,5,0,17.4,2.6,7.2,1.0,2.6,1.6,4.6,2.4,2.8,0.2,1.8,2.0,3.2,0.2,0.0,1.2,2.4,9.2,.361,.385,.348,.857,.546,.472,G,hylanbo01
112,George Hill,0.1,15.2,101,110,-8.0,0.5,-0.1,0.1,2021-22,35,MIL,5,0,15.2,0.2,1.0,0.0,0.6,0.2,0.4,0.4,0.4,0.2,1.0,1.2,0.6,0.0,0.0,0.2,2.0,1.0,.200,.000,.500,1.000,.425,.300,G,hillge01
113,DeAndre Jordan,0.1,10.3,133,110,1.0,15.7,0.0,0.1,2021-22,33,PHI,3,2,10.3,1.7,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.3,2.0,2.3,0.3,0.0,0.7,0.7,1.3,3.3,1.000,1.000,,,1.000,1.000,C,jordade01
114,John Collins,0.1,24.4,103,115,-0.9,10.7,0.0,0.1,2021-22,24,ATL,5,4,24.4,3.8,7.8,3.0,5.6,0.8,2.2,1.0,2.0,0.4,4.2,4.6,1.2,0.4,0.2,1.0,2.4,9.4,.487,.536,.364,.500,.541,.538,F,collijo01
115,DeMar DeRozan,0.1,40.6,96,109,-0.8,13.4,0.1,0.1,2021-22,32,CHI,5,5,40.6,7.8,19.0,7.8,17.2,0.0,1.8,5.2,6.0,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,.411,.453,.000,.867,.481,.411,G-F,derozde01
116,Jaxson Hayes,0.1,13.8,113,121,-4.9,11.9,-0.1,0.1,2021-22,21,NOP,6,6,13.8,2.3,4.2,2.3,3.7,0.0,0.5,1.2,1.8,0.7,1.8,2.5,0.2,0.0,0.3,0.7,1.8,5.8,.560,.636,.000,.636,.586,.560,F,hayesja02
117,Caleb Martin,0.1,12.3,91,106,-2.3,9.3,0.0,0.1,2021-22,26,MIA,17,0,12.3,1.9,4.7,1.3,2.8,0.6,1.9,0.1,0.4,0.7,1.5,2.2,0.3,0.6,0.1,0.6,1.0,4.5,.400,.468,.303,.333,.460,.463,F,martica02
118,Patty Mills,0.1,18.0,139,128,0.6,10.7,0.0,0.1,2021-22,33,BRK,4,0,18.0,2.3,4.0,0.5,0.8,1.8,3.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,1.3,6.3,.563,.667,.538,,.781,.781,G,millspa02
119,Devonte' Graham,0.1,10.0,112,120,-1.1,11.5,0.0,0.1,2021-22,26,NOP,6,0,10.0,1.0,3.0,0.2,0.7,0.8,2.3,1.2,1.3,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4.0,.333,.250,.357,.875,.558,.472,G,grahade01
120,Gary Trent Jr.,0.1,33.2,107,122,-1.4,12.4,0.0,0.1,2021-22,23,TOR,6,6,33.2,5.2,13.7,3.0,7.2,2.2,6.5,2.8,3.2,0.2,1.5,1.7,1.3,1.0,0.5,0.5,1.8,15.3,.378,.419,.333,.895,.509,.457,G,trentga02
121,Naz Reid,0.1,10.8,97,106,-1.9,11.2,0.0,0.1,2021-22,22,MIN,5,0,10.8,1.4,3.4,0.8,2.0,0.6,1.4,1.4,1.4,0.4,2.4,2.8,0.0,0.2,1.2,1.0,2.8,4.8,.412,.400,.429,1.000,.598,.500,F,reidna01
122,Khris Middleton,0.1,36.0,94,104,0.9,10.5,0.1,0.1,2021-22,30,MIL,2,2,36.0,5.0,12.0,2.0,5.0,3.0,7.0,1.5,1.5,0.5,4.5,5.0,7.0,1.5,0.0,5.5,3.0,14.5,.417,.400,.429,1.000,.573,.542,F-G,middlkh01
123,Blake Griffin,0.1,12.5,122,121,3.9,15.5,0.0,0.1,2021-22,32,BRK,2,0,12.5,1.0,3.5,0.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.5,4.0,.286,.000,.400,1.000,.508,.429,F,griffbl01
124,Landry Shamet,0.0,16.0,103,119,-1.5,8.4,0.0,0.0,2021-22,24,PHO,12,0,16.0,1.6,4.0,0.8,1.8,0.8,2.2,0.4,0.6,0.3,1.4,1.7,1.3,0.5,0.0,0.6,0.8,4.3,.396,.455,.346,.714,.509,.490,G,shamela01
125,Bryn Forbes,0.0,15.2,123,127,-2.8,7.8,0.0,0.0,2021-22,28,DEN,5,0,15.2,1.2,3.0,0.4,0.8,0.8,2.2,0.8,1.0,0.2,0.4,0.6,1.4,0.2,0.0,0.4,1.4,4.0,.400,.500,.364,.800,.581,.533,G,forbebr01
126,Jeff Green,0.0,22.6,114,123,-3.3,7.6,0.0,0.0,2021-22,35,DEN,5,5,22.6,1.2,3.4,0.6,1.8,0.6,1.6,0.8,1.0,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8,.353,.333,.375,.800,.495,.441,F,greenje02
127,Danilo Gallinari,0.0,22.4,101,116,-1.8,10.8,0.0,0.0,2021-22,33,ATL,5,3,22.4,3.6,9.0,2.8,6.0,0.8,3.0,2.2,2.2,0.4,3.8,4.2,0.8,0.2,0.0,1.0,1.2,10.2,.400,.467,.267,1.000,.512,.444,F,gallida01
128,Frank Ntilikina,0.0,10.4,91,112,-3.7,5.7,-0.1,0.0,2021-22,23,DAL,12,0,10.4,0.7,2.0,0.2,0.3,0.5,1.7,0.1,0.1,0.2,0.8,1.0,0.8,0.7,0.1,0.5,1.6,1.9,.333,.500,.300,1.000,.471,.458,G,ntilila01
129,JaMychal Green,0.0,13.8,113,125,-7.1,6.7,-0.1,0.0,2021-22,31,DEN,5,0,13.8,1.2,3.2,1.0,2.2,0.2,1.0,1.4,1.4,0.6,1.8,2.4,0.4,0.0,0.2,0.4,2.4,4.0,.375,.455,.200,1.000,.524,.406,F,greenja01
130,Clint Capela,0.0,20.0,88,110,-3.1,7.8,0.0,0.0,2021-22,27,ATL,2,2,20.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,5.5,7.5,0.0,0.5,0.5,0.5,1.0,2.0,.333,.333,,,.333,.333,C,capelca01
131,Austin Rivers,0.0,21.6,103,120,-2.4,6.1,0.0,0.0,2021-22,29,DEN,5,0,21.6,1.6,3.6,0.8,1.2,0.8,2.4,0.2,0.2,0.0,0.6,0.6,1.2,1.4,0.2,0.8,3.0,4.2,.444,.667,.333,1.000,.569,.556,G,riverau01
132,Khem Birch,0.0,10.5,107,123,-5.2,8.1,0.0,0.0,2021-22,29,TOR,6,4,10.5,1.3,2.7,1.0,2.0,0.3,0.7,0.0,0.0,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3.0,.500,.500,.500,,.563,.563,C-F,birchkh01
133,Derrick Jones Jr.,0.0,11.8,94,113,-5.8,6.0,-0.1,0.0,2021-22,24,CHI,5,0,11.8,1.4,3.4,0.8,1.2,0.6,2.2,0.4,0.6,0.6,0.8,1.4,0.4,0.2,0.0,0.6,1.6,3.8,.412,.667,.273,.667,.519,.500,F,jonesde02
134,Taurean Prince,0.0,13.0,97,114,-1.0,10.4,0.0,0.0,2021-22,27,MIN,5,0,13.0,2.0,5.4,1.2,2.6,0.8,2.8,1.2,1.4,0.2,1.4,1.6,1.2,0.4,0.2,0.8,1.0,6.0,.370,.462,.286,.857,.499,.444,F,princta02
135,Malik Beasley,0.0,19.8,96,115,-2.6,9.0,0.0,0.0,2021-22,25,MIN,6,0,19.8,3.2,7.3,1.8,3.2,1.3,4.2,0.8,1.0,0.3,3.0,3.3,0.7,0.3,0.2,1.2,1.5,8.5,.432,.579,.320,.833,.547,.523,G,beaslma01
136,Andre Drummond,0.0,15.0,90,113,-3.2,10.0,0.0,0.0,2021-22,28,BRK,4,4,15.0,1.5,2.8,1.5,2.8,0.0,0.0,0.8,1.3,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.0,3.8,.545,.545,,.600,.568,.545,C,drumman01
137,De'Anthony Melton,0.0,17.0,85,106,-2.4,8.5,0.0,0.0,2021-22,23,MEM,10,0,17.0,2.1,6.5,1.0,2.1,1.1,4.4,0.3,0.4,0.9,2.2,3.1,1.6,1.0,0.5,1.4,0.9,5.6,.323,.476,.250,.750,.419,.408,G,meltode01
138,Precious Achiuwa,0.0,27.8,102,122,-3.3,10.9,-0.1,0.0,2021-22,22,TOR,6,1,27.8,4.2,8.7,3.3,6.0,0.8,2.7,1.0,1.7,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,.481,.556,.313,.600,.541,.529,F,achiupr01
139,Ayo Dosunmu,-0.1,17.2,88,114,-5.3,6.0,-0.1,-0.1,2021-22,22,CHI,5,1,17.2,1.6,5.2,1.0,2.6,0.6,2.6,0.2,0.2,0.8,1.8,2.6,2.2,0.2,0.0,0.6,1.0,4.0,.308,.385,.231,1.000,.378,.365,G,dosunay01
140,Kevin Huerter,-0.1,30.8,92,114,-0.8,7.7,0.0,-0.1,2021-22,23,ATL,5,5,30.8,3.4,9.4,1.6,3.2,1.8,6.2,0.6,0.8,0.2,2.8,3.0,3.8,1.2,0.6,2.2,3.0,9.2,.362,.500,.290,.750,.472,.457,G,huertke01
141,Danuel House Jr.,-0.1,18.7,92,118,-3.4,5.2,0.0,-0.1,2021-22,28,UTA,6,0,18.7,1.5,3.7,1.2,2.0,0.3,1.7,1.0,1.3,0.3,2.5,2.8,0.7,0.0,0.2,1.0,1.2,4.3,.409,.583,.200,.750,.509,.455,G,houseda01
142,Jaylen Nowell,-0.1,12.0,67,113,-9.6,1.6,0.0,-0.1,2021-22,22,MIN,1,0,12.0,3.0,10.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,.300,.600,.000,,.300,.300,G,nowelja01
143,D'Angelo Russell,-0.1,32.7,94,114,-2.9,8.5,0.0,-0.1,2021-22,25,MIN,6,6,32.7,4.0,12.0,2.0,6.8,2.0,5.2,2.0,2.7,0.0,2.5,2.5,6.7,1.5,0.0,2.8,2.8,12.0,.333,.293,.387,.750,.455,.417,G,russeda01
144,Will Barton,-0.1,34.4,100,123,-2.8,9.9,0.0,-0.1,2021-22,31,DEN,5,5,34.4,5.4,13.2,3.2,7.6,2.2,5.6,0.8,1.2,1.0,4.6,5.6,2.8,0.8,0.2,2.0,2.2,13.8,.409,.421,.393,.667,.503,.492,G,bartowi01
145,Kevin Durant,-0.1,44.0,102,124,-2.9,13.6,0.0,-0.1,2021-22,33,BRK,4,4,44.0,8.0,20.8,6.3,15.5,1.8,5.3,8.5,9.5,0.5,5.3,5.8,6.3,1.0,0.3,5.3,3.8,26.3,.386,.403,.333,.895,.526,.428,F-G,duranke01
146,Javonte Green,-0.1,14.4,58,101,-6.3,4.1,-0.1,-0.1,2021-22,28,CHI,5,1,14.4,0.6,3.4,0.6,2.2,0.0,1.2,0.2,0.4,1.6,1.4,3.0,0.4,1.8,0.0,0.8,1.6,1.4,.176,.273,.000,.500,.196,.176,F,greenja02
147,Troy Brown Jr.,-0.1,12.3,67,107,-7.0,3.6,0.0,-0.1,2021-22,22,CHI,3,0,12.3,1.7,5.7,1.0,2.0,0.7,3.7,0.0,0.0,0.3,2.3,2.7,1.0,0.7,0.0,1.0,0.7,4.0,.294,.500,.182,,.353,.353,G-F,browntr01
148,Mike Conley,-0.1,29.0,92,115,-3.9,8.2,-0.1,-0.1,2021-22,34,UTA,6,6,29.0,3.2,9.5,2.3,5.3,0.8,4.2,2.0,2.5,0.3,2.8,3.2,4.8,0.8,0.3,2.2,3.2,9.2,.333,.438,.200,.800,.432,.377,G,conlemi01
149,Coby White,-0.2,19.6,83,112,-4.5,6.5,-0.1,-0.2,2021-22,21,CHI,5,0,19.6,3.0,9.0,1.4,3.2,1.6,5.8,0.8,1.0,0.0,3.4,3.4,1.8,0.2,0.0,1.2,1.0,8.4,.333,.438,.276,.800,.445,.422,G,whiteco01
150,Dillon Brooks,-0.3,30.5,90,112,-4.6,6.9,-0.2,-0.3,2021-22,26,MEM,11,11,30.5,5.5,15.6,3.2,9.1,2.3,6.5,1.5,2.3,0.7,2.0,2.7,2.7,1.0,0.3,2.0,3.3,14.6,.349,.350,.347,.640,.440,.422,F-G,brookdi01
151,Cameron Payne,-0.5,13.2,80,117,-9.0,3.4,-0.3,-0.5,2021-22,27,PHO,13,0,13.2,1.7,5.7,1.3,3.4,0.4,2.3,0.4,0.5,0.2,1.4,1.5,2.1,0.5,0.1,1.0,1.9,4.2,.297,.386,.167,.833,.352,.331,G,payneca01
152,Trae Young,-0.5,37.2,83,117,-8.1,5.3,-0.3,-0.5,2021-22,23,ATL,5,5,37.2,4.4,13.8,3.0,6.2,1.4,7.6,5.2,6.6,1.0,4.0,5.0,6.0,0.6,0.0,6.2,2.6,15.4,.319,.484,.184,.788,.461,.370,G,youngtr01
